,PLAYER,WEIGHT,FEET,INCHES,HEIGHT.in
159,Anthony Gill ,230,6,7,79
160,Rudy Gobert ,258,7,1,85
161,Brandon Goodwin ,180,6,1,73
162,Aaron Gordon ,235,6,8,80
163,Eric Gordon ,215,6,3,75
164,Devonte' Graham ,195,6,1,73
165,Jerami Grant ,210,6,8,80
166,Danny Green ,215,6,6,78
167,Draymond Green ,230,6,6,78
168,JaMychal Green ,227,6,8,80
169,Javonte Green ,205,6,4,76
170,Jeff Green ,235,6,8,80
171,Josh Green ,200,6,5,77
172,Blake Griffin ,250,6,9,81
173,Kyle Guy ,167,6,1,73
174,Rui Hachimura ,230,6,8,80
175,Tyrese Haliburton ,185,6,5,77
176,Donta Hall ,230,6,10,82
177,Josh Hall ,190,6,9,81
178,R.J. Hampton ,175,6,4,76
179,Tim Hardaway Jr. ,205,6,5,77
180,James Harden ,220,6,5,77
181,Maurice Harkless ,220,6,7,79
182,Jared Harper ,175,5,10,70
183,Montrezl Harrell ,240,6,7,79
184,Gary Harris ,210,6,4,76
185,Jalen Harris ,195,6,5,77
186,Joe Harris ,220,6,6,78
187,Tobias Harris ,226,6,8,80
188,Josh Hart ,215,6,5,77
189,Isaiah Hartenstein ,250,7,1,85
190,Udonis Haslem ,235,6,8,80
191,Jaxson Hayes ,220,6,11,83
192,Killian Hayes ,195,6,5,77
193,Gordon Hayward ,225,6,7,79
194,Juancho Hernangomez ,214,6,9,81
195,Willy Hernangomez ,250,6,11,83
196,Tyler Herro ,195,6,5,77
197,Buddy Hield ,220,6,4,76
198,George Hill ,188,6,4,76
199,Solomon Hill ,226,6,6,78
200,Nate Hinton ,210,6,5,77
201,Aaron Holiday ,185,6,1,73
202,Jrue Holiday ,205,6,3,75
203,Justin Holiday ,180,6,6,78
204,Richaun Holmes ,235,6,10,82
205,Rodney Hood ,208,6,8,80
206,Al Horford ,240,6,9,81
207,Talen Horton-Tucker ,234,6,4,76
208,Danuel House Jr. ,220,6,6,78
209,Dwight Howard ,265,6,10,82
210,Markus Howard ,175,5,10,70
211,Kevin Huerter ,190,6,7,79
212,Elijah Hughes ,215,6,5,77
213,De'Andre Hunter ,225,6,8,80
214,Chandler Hutchison ,210,6,6,78
215,Serge Ibaka ,235,6,10,82
216,Andre Iguodala ,215,6,6,78
217,Joe Ingles ,220,6,8,80
218,Brandon Ingram ,190,6,8,80
219,Kyrie Irving ,195,6,2,74
220,Jonathan Isaac ,230,6,11,83
221,Wes Iwundu ,195,6,6,78
222,Frank Jackson ,205,6,3,75
223,Josh Jackson ,207,6,8,80
224,Justin Jackson ,220,6,8,80
225,Reggie Jackson ,208,6,2,74
226,Jaren Jackson Jr. ,242,6,11,83
227,Justin James ,190,6,7,79
228,LeBron James ,250,6,9,81
229,DaQuan Jeffries ,230,6,5,77
230,Ty Jerome ,195,6,5,77
231,Isaiah Joe ,165,6,4,76
232,Cameron Johnson ,210,6,8,80
233,James Johnson ,240,6,7,79
234,Keldon Johnson ,220,6,5,77
235,Stanley Johnson ,242,6,6,78
236,Tyler Johnson ,186,6,3,75
237,Nikola Jokic ,284,6,11,83
238,Damian Jones ,245,6,11,83
239,Mason Jones ,200,6,4,76
240,Tre Jones ,185,6,1,73
241,Tyus Jones ,196,6,1,73
242,Derrick Jones Jr. ,210,6,5,77
243,DeAndre Jordan ,265,6,11,83
244,Cory Joseph ,200,6,3,75
245,Mfiondu Kabengele ,250,6,9,81
246,Frank Kaminsky ,240,7,1,85
247,Enes Kanter ,250,6,10,82
248,Luke Kennard ,206,6,5,77
249,Maxi Kleber ,240,6,10,82
250,Nathan Knight ,253,6,10,82
251,Kevin Knox II ,215,6,7,79
252,John Konchar ,210,6,5,77
253,Furkan Korkmaz ,202,6,7,79
254,Luke Kornet ,250,7,2,86
255,Rodions Kurucs ,228,6,9,81
256,Kyle Kuzma ,221,6,10,82
257,Zach LaVine ,200,6,5,77
258,Jeremy Lamb ,180,6,5,77
259,Romeo Langford ,216,6,4,76
260,Jake Layman ,209,6,8,80
261,Caris LeVert ,205,6,6,78
262,Jalen Lecque ,185,6,4,76
263,Damion Lee ,210,6,5,77
264,Saben Lee ,183,6,2,74
265,Alex Len ,250,7,1,85
266,Kawhi Leonard ,225,6,7,79
267,Meyers Leonard ,260,7,1,85
268,Kira Lewis Jr. ,170,6,1,73
269,Damian Lillard ,195,6,2,74
270,Nassir Little ,220,6,5,77
271,Kevon Looney ,222,6,9,81
272,Brook Lopez ,282,7,1,85
273,Robin Lopez ,281,7,1,85
274,Kevin Love ,251,6,8,80
275,Kyle Lowry ,196,6,1,73
276,Timothe Luwawu-Cabarrot ,220,6,7,79
277,Trey Lyles ,234,6,9,81
278,Default player ,234,6,10,82
279,Theo Maledon ,175,6,4,76
280,Karim Mane ,190,6,3,75
281,Terance Mann ,215,6,5,77
282,Nico Mannion ,190,6,2,74
283,Boban Marjanovic ,290,7,4,88
284,Lauri Markkanen ,240,7,1,85
285,Naji Marshall ,220,6,7,79
286,Caleb Martin ,205,6,5,77
287,Cody Martin ,205,6,5,77
288,Kelan Martin ,230,6,5,77
289,Kenyon Martin Jr. ,215,6,6,78
290,Garrison Mathews ,215,6,5,77
291,Wesley Matthews ,220,6,4,76
292,Tyrese Maxey ,200,6,2,74
293,Skylar Mays ,205,6,4,76
294,Patrick McCaw ,181,6,7,79
295,CJ McCollum ,190,6,3,75
296,T.J. McConnell ,190,6,1,73
297,Jaden McDaniels ,185,6,9,81
298,Jalen McDaniels ,205,6,9,81
299,Doug McDermott ,225,6,7,79
300,Sean McDermott ,195,6,6,78
301,JaVale McGee ,270,7,1,85
302,Rodney McGruder ,205,6,4,76
303,Alfonzo McKinnie ,215,6,7,79
304,Jordan McLaughlin ,185,5,11,71
305,Ben McLemore ,195,6,3,75
306,Nicolo Melli ,236,6,9,81
307,De'Anthony Melton ,200,6,2,74
308,Sam Merrill ,205,6,4,76
309,Chimezie Metu ,225,6,9,81
310,Khris Middleton ,222,6,7,79
311,Darius Miller ,225,6,6,78
312,Patty Mills ,180,6,1,73
313,Paul Millsap ,257,6,7,79
314,Shake Milton ,205,6,5,77
315,Donovan Mitchell ,215,6,1,73
316,Adam Mokoka ,190,6,4,76
317,Malik Monk ,200,6,3,75
318,E'Twaun Moore ,191,6,3,75
319,Ja Morant ,174,6,3,75
320,Juwan Morgan ,232,6,7,79
321,Markieff Morris ,245,6,9,81
322,Monte Morris ,183,6,2,74
323,Marcus Morris Sr. ,218,6,8,80
324,Mychal Mulder ,184,6,3,75
325,Dejounte Murray ,180,6,4,76
326,Jamal Murray ,215,6,3,75
327,Mike Muscala ,240,6,10,82
328,Svi Mykhailiuk ,205,6,7,79
329,Abdel Nader ,225,6,5,77
330,Larry Nance Jr. ,245,6,7,79
331,Aaron Nesmith ,215,6,5,77
332,Raul Neto ,180,6,1,73
333,Georges Niang ,230,6,7,79
334,Zeke Nnaji ,240,6,9,81
335,Nerlens Noel ,220,6,11,83
336,Jaylen Nowell ,201,6,4,76
337,Frank Ntilikina ,200,6,4,76
338,Kendrick Nunn ,190,6,2,74
339,Jusuf Nurkic ,290,6,11,83
340,David Nwaba ,219,6,5,77
341,Jordan Nwora ,225,6,8,80
342,Royce O'Neale ,226,6,4,76
343,Semi Ojeleye ,240,6,6,78
344,Jahlil Okafor ,270,6,10,82
345,Chuma Okeke ,229,6,6,78
346,Josh Okogie ,213,6,4,76
347,Onyeka Okongwu ,235,6,8,80
348,Isaac Okoro ,225,6,5,77
349,KZ Okpala ,215,6,8,80
350,Victor Oladipo ,213,6,4,76
351,Kelly Olynyk ,240,6,11,83
352,Miye Oni ,206,6,5,77
353,Cedi Osman ,230,6,7,79
354,Daniel Oturu ,240,6,8,80
355,Kelly Oubre Jr. ,203,6,7,79
356,Jabari Parker ,245,6,8,80
357,Eric Paschall ,255,6,6,78
358,Patrick Patterson ,235,6,8,80
359,Justin Patton ,241,6,11,83
360,Chris Paul ,175,6,1,73
361,Cameron Payne ,183,6,1,73
