Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
347,C.J. Miles\milescj01,SF,31,TOT,53,856,0.36,19.6,0.347,0.129,0.077,0.068,0.074,0.653,0.417,0.475,0.292,0.381,0.478,0.33,0.667,0.97,0.013,3,0.227,0.391,1,0
347,C.J. Miles\milescj01,SF,31,TOR,40,562,0.34,19.7,0.335,0.131,0.087,0.058,0.058,0.665,0.391,0.481,0.278,0.333,0.417,0.314,0.593,0.953,0.019,3,0.241,0.394,1,0
347,C.J. Miles\milescj01,SF,31,MEM,13,294,0.4,19.4,0.371,0.124,0.057,0.086,0.105,0.629,0.462,0.462,0.333,0.444,0.545,0.364,0.778,1,0,0,0.197,0.385,0,0
348,Darius Miller\milleda01,SF,28,NOP,69,1757,0.39,22.3,0.248,0.031,0.039,0.089,0.089,0.752,0.467,0.667,0.474,0.419,0.442,0.365,0.625,0.932,0.002,1,0.168,0.361,1,0
349,Malcolm Miller\millema01,SF,25,TOR,10,67,0.423,21.4,0.192,0.115,0.038,0,0.038,0.808,0.2,0,0,,1,0.476,1,1,0,0,0.333,0.571,0,0
350,Patty Mills\millspa02,PG,30,SAS,82,1908,0.425,19.5,0.391,0.139,0.057,0.027,0.167,0.609,0.475,0.685,0.395,0.333,0.351,0.394,0.407,0.755,0,0,0.213,0.477,1,0
351,Paul Millsap\millspa01,PF,33,DEN,70,1895,0.484,10,0.761,0.34,0.295,0.111,0.015,0.239,0.522,0.668,0.408,0.419,0.2,0.365,0.564,1,0.072,43,0.208,0.424,1,1
352,Shake Milton\miltosh01,SG,22,PHI,20,268,0.391,16.3,0.494,0.23,0.115,0.057,0.092,0.506,0.465,0.6,0.2,0.6,0.375,0.318,0.75,0.929,0.011,1,0.295,0.308,0,0
353,Nikola Mirotić\mirotni01,PF,27,TOT,46,1245,0.439,18.4,0.413,0.194,0.081,0.05,0.089,0.587,0.545,0.657,0.568,0.333,0.396,0.365,0.746,0.914,0.009,5,0.151,0.438,2,0
353,Nikola Mirotić\mirotni01,PF,27,NOP,32,925,0.447,18.2,0.432,0.204,0.076,0.047,0.106,0.568,0.551,0.627,0.613,0.474,0.395,0.368,0.784,0.906,0.01,4,0.143,0.424,1,0
353,Nikola Mirotić\mirotni01,PF,27,MIL,14,320,0.415,19.2,0.356,0.163,0.096,0.059,0.037,0.644,0.521,0.773,0.462,0,0.4,0.356,0.6,0.935,0.007,1,0.172,0.467,1,0
354,Donovan Mitchell\mitchdo01,SG,22,UTA,77,2598,0.432,13.7,0.661,0.218,0.238,0.128,0.077,0.339,0.468,0.619,0.343,0.48,0.407,0.362,0.237,0.58,0.024,31,0.116,0.367,5,1
355,Naz Mitrou-Long\mitrona01,SG,25,UTA,14,84,0.3,15.4,0.45,0.4,0.05,0,0,0.55,0.444,0.375,1,,,0.182,0.5,0,0.05,1,0.091,0,0,0
356,Malik Monk\monkma01,SG,20,CHO,73,1258,0.387,17.9,0.437,0.191,0.102,0.058,0.085,0.563,0.461,0.643,0.25,0.382,0.36,0.33,0.432,0.899,0.038,21,0.206,0.309,6,0
