Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
408,Otto Porter\porteot01,SF,25,WAS,41,1191,0.457,16.3,0.602,0.172,0.106,0.152,0.172,0.398,0.515,0.684,0.596,0.448,0.355,0.369,0.642,0.923,0.009,4,0.313,0.4,0,0
408,Otto Porter\porteot01,SF,25,CHI,15,492,0.483,17.5,0.602,0.109,0.114,0.144,0.234,0.398,0.479,0.591,0.522,0.483,0.404,0.488,0.517,0.795,0.01,2,0.175,0.5,0,0
409,Bobby Portis\portibo01,PF,23,TOT,50,1299,0.444,12.6,0.696,0.272,0.236,0.084,0.104,0.304,0.467,0.573,0.439,0.434,0.277,0.393,0.534,1,0.046,23,0.105,0.35,0,0
409,Bobby Portis\portibo01,PF,23,CHI,22,531,0.45,11.4,0.734,0.306,0.244,0.118,0.066,0.266,0.477,0.506,0.515,0.5,0.167,0.375,0.526,1,0.048,9,0.042,0.333,0,0
409,Bobby Portis\portibo01,PF,23,WAS,28,768,0.44,13.6,0.667,0.246,0.23,0.059,0.132,0.333,0.458,0.636,0.378,0.333,0.319,0.403,0.541,1,0.045,14,0.143,0.353,0,0
410,Dwight Powell\poweldw01,C,27,DAL,77,1662,0.597,8.6,0.739,0.578,0.123,0.014,0.023,0.261,0.699,0.797,0.417,0.143,0.091,0.307,0.841,1,0.216,99,0.087,0.364,0,0
411,Norman Powell\powelno01,SG,25,TOR,60,1126,0.483,13.7,0.575,0.383,0.103,0.038,0.053,0.425,0.543,0.621,0.512,0.267,0.238,0.4,0.552,0.926,0.053,20,0.312,0.472,3,0
412,Alex Poythress\poythal01,PF,25,ATL,21,305,0.494,8.4,0.716,0.617,0.074,0,0.025,0.284,0.534,0.6,0.167,,0,0.391,0.71,1,0.185,10,0.696,0.438,0,0
413,Taurean Prince\princta02,SF,24,ATL,55,1552,0.441,16.9,0.47,0.173,0.118,0.109,0.069,0.53,0.498,0.689,0.371,0.4,0.39,0.39,0.453,0.854,0.019,10,0.346,0.413,3,0
414,Zhou Qi\qizh01,PF,23,HOU,1,1,1,1,1,1,0,0,0,0,1,1,,,,,1,,1,1,,,0,0
415,Ivan Rabb\rabbiv01,PF,21,MEM,49,721,0.547,7.6,0.929,0.429,0.269,0.09,0.142,0.071,0.574,0.692,0.596,0.526,0.2,0.2,0.664,1,0.108,22,0.4,0,0,0
416,Chasson Randle\randlch01,PG,25,WAS,49,743,0.419,15.9,0.47,0.258,0.129,0.032,0.051,0.53,0.441,0.607,0.286,0.143,0.182,0.4,0.533,0.696,0.005,0,0.209,0.333,0,0
417,Julius Randle\randlju01,PF,24,NOP,73,2232,0.524,8.3,0.821,0.446,0.274,0.062,0.039,0.179,0.564,0.689,0.426,0.412,0.333,0.344,0.49,0.91,0.075,78,0.164,0.344,0,0
418,J.J. Redick\redicjj01,SG,34,PHI,76,2379,0.44,20.9,0.411,0.081,0.045,0.045,0.241,0.589,0.502,0.639,0.348,0.435,0.498,0.397,0.83,0.95,0,0,0.129,0.397,0,0
419,Davon Reed\reedda01,SG,23,IND,10,47,0.417,15.1,0.667,0.333,0,0.083,0.25,0.333,0.375,0.75,,0,0,0.5,0.333,1,0,0,0,,0,0
420,Cameron Reynolds\reynoca01,SG,23,MIN,19,259,0.423,19,0.346,0.128,0.064,0.09,0.064,0.654,0.444,0.4,0.4,0.714,0.2,0.412,0.75,0.952,0.051,3,0.314,0.375,0,0
421,Josh Richardson\richajo01,SG,25,MIA,73,2539,0.412,16.5,0.552,0.176,0.125,0.131,0.12,0.448,0.458,0.569,0.367,0.455,0.39,0.357,0.436,0.878,0.027,25,0.154,0.366,0,0
422,Malachi Richardson\richama01,SG,23,TOR,22,103,0.31,22.6,0.138,0.069,0.034,0,0.034,0.862,0.25,0.5,0,,0,0.32,0,0.875,0,0,0.48,0.333,0,0
423,Austin Rivers\riverau01,SG,26,TOT,76,2028,0.406,16.4,0.428,0.217,0.177,0.031,0.003,0.572,0.522,0.645,0.406,0.278,1,0.318,0.313,0.683,0.003,2,0.211,0.333,1,0
423,Austin Rivers\riverau01,SG,26,WAS,29,683,0.392,15.7,0.454,0.258,0.165,0.026,0.005,0.546,0.489,0.6,0.375,0,1,0.311,0.233,0.758,0.005,1,0.16,0.353,0,0
423,Austin Rivers\riverau01,SG,26,HOU,47,1345,0.413,16.8,0.415,0.196,0.183,0.034,0.003,0.585,0.541,0.676,0.42,0.385,1,0.321,0.353,0.648,0.003,1,0.235,0.327,1,0
424,Devin Robinson\robinde01,SF,23,WAS,7,95,0.594,7.8,0.938,0.406,0.281,0.094,0.156,0.063,0.633,0.692,0.778,0.333,0.4,0,0.737,,0.219,7,0,,0,0
425,Duncan Robinson\robindu01,SF,24,MIA,15,161,0.391,20.8,0.239,0.13,0.022,0.043,0.043,0.761,0.727,0.833,1,0.5,0.5,0.286,0.875,1,0.043,2,0.229,0.375,0,0
426,Glenn Robinson III\robingl02,SF,25,DET,47,610,0.42,13.6,0.648,0.222,0.21,0.114,0.102,0.352,0.491,0.744,0.324,0.25,0.556,0.29,0.839,0.944,0.051,8,0.516,0.25,0,0
427,Jerome Robinson\robinje01,SG,21,LAC,33,320,0.4,18.3,0.482,0.145,0.118,0.118,0.1,0.518,0.491,0.688,0.231,0.615,0.364,0.316,0.577,0.889,0.009,1,0.158,0.444,2,0
428,Mitchell Robinson\robinmi01,C,20,NYK,66,1360,0.694,1.5,1,0.904,0.086,0.003,0.007,0,0.694,0.734,0.32,1,0,,0.644,,0.526,128,,,0,0
429,Rajon Rondo\rondora01,PG,32,LAL,46,1369,0.405,12.5,0.671,0.35,0.183,0.058,0.081,0.329,0.428,0.55,0.291,0.24,0.343,0.359,0.169,0.471,0.009,4,0.162,0.217,1,0
430,Derrick Rose\rosede01,PG,30,MIN,51,1392,0.482,12.1,0.806,0.29,0.175,0.158,0.183,0.194,0.509,0.651,0.364,0.496,0.435,0.37,0.249,0.685,0.001,1,0.144,0.524,3,0
431,Terrence Ross\rosste01,SG,27,ORL,81,2150,0.428,20.7,0.449,0.068,0.049,0.104,0.228,0.551,0.484,0.7,0.46,0.43,0.449,0.383,0.713,0.765,0.028,24,0.092,0.462,7,0
432,Terry Rozier\roziete01,PG,24,BOS,79,1791,0.387,17,0.494,0.168,0.137,0.098,0.092,0.506,0.422,0.634,0.297,0.369,0.279,0.353,0.36,0.739,0.027,15,0.187,0.413,0,0
433,Ricky Rubio\rubiori01,PG,28,UTA,68,1899,0.404,14.6,0.652,0.226,0.129,0.149,0.148,0.348,0.454,0.582,0.383,0.339,0.435,0.311,0.389,0.873,0,0,0.287,0.37,1,0
434,D'Angelo Russell\russeda01,PG,22,BRK,81,2448,0.434,16.4,0.581,0.137,0.157,0.178,0.109,0.419,0.482,0.558,0.441,0.504,0.41,0.369,0.155,0.53,0.003,3,0.074,0.468,1,0
435,Domantas Sabonis\sabondo01,C,22,IND,74,1838,0.59,6.2,0.976,0.491,0.273,0.089,0.123,0.024,0.592,0.741,0.487,0.339,0.407,0.529,0.656,1,0.071,48,0.176,0.333,0,0
436,Brandon Sampson\sampsbr01,SG,21,CHI,14,214,0.467,14.6,0.517,0.267,0.217,0,0.033,0.483,0.548,0.625,0.538,,0,0.379,0.765,0.909,0.05,3,0.31,0.444,0,0
437,JaKarr Sampson\sampsja02,SF,25,CHI,4,127,0.537,11.3,0.741,0.241,0.333,0.074,0.093,0.259,0.6,0.692,0.5,0.75,0.6,0.357,0.417,1,0.037,2,0.214,0,0,0
438,Dario Šarić\saricda01,PF,24,TOT,81,2023,0.437,15,0.536,0.302,0.102,0.045,0.088,0.464,0.499,0.657,0.296,0.226,0.328,0.365,0.742,0.966,0.014,10,0.164,0.321,0,0
438,Dario Šarić\saricda01,PF,24,PHI,13,396,0.364,17.1,0.47,0.197,0.159,0.023,0.091,0.53,0.435,0.577,0.333,0.333,0.333,0.3,0.815,1,0.015,2,0.1,0.143,0,0
438,Dario Šarić\saricda01,PF,24,MIN,68,1627,0.454,14.6,0.551,0.326,0.089,0.05,0.087,0.449,0.511,0.668,0.28,0.214,0.327,0.383,0.73,0.959,0.014,8,0.182,0.348,0,0
439,Tomáš Satoranský\satorto01,PG,27,WAS,80,2164,0.485,12.2,0.694,0.317,0.198,0.104,0.075,0.306,0.524,0.702,0.448,0.255,0.35,0.395,0.477,0.969,0.055,25,0.265,0.372,2,0
440,Dennis Schröder\schrode01,PG,25,OKC,79,2314,0.414,14.1,0.67,0.251,0.145,0.17,0.104,0.33,0.45,0.52,0.406,0.41,0.409,0.341,0.165,0.798,0.001,1,0.135,0.388,5,0
441,Mike Scott\scottmi01,PF,30,TOT,79,1395,0.4,18.5,0.4,0.126,0.138,0.067,0.069,0.6,0.399,0.547,0.241,0.464,0.379,0.401,0.627,0.98,0.012,5,0.262,0.424,3,0
441,Mike Scott\scottmi01,PF,30,LAC,52,748,0.4,18.2,0.422,0.13,0.139,0.074,0.078,0.578,0.412,0.567,0.25,0.412,0.444,0.391,0.675,0.962,0.013,3,0.293,0.462,2,0
441,Mike Scott\scottmi01,PF,30,PHI,27,647,0.4,18.9,0.374,0.121,0.137,0.058,0.058,0.626,0.38,0.522,0.231,0.545,0.273,0.412,0.556,1,0.011,2,0.227,0.37,1,0
442,Thabo Sefolosha\sefolth01,SF,34,UTA,50,609,0.477,15.5,0.477,0.262,0.107,0.04,0.067,0.523,0.521,0.59,0.5,0.333,0.4,0.436,0.811,0.971,0.04,4,0.564,0.432,0,0
443,Wayne Selden\seldewa01,SG,24,TOT,75,1439,0.406,14.1,0.64,0.226,0.182,0.139,0.093,0.36,0.456,0.55,0.375,0.403,0.467,0.316,0.489,0.873,0.041,17,0.241,0.405,0,0
443,Wayne Selden\seldewa01,SG,24,MEM,32,455,0.404,14,0.609,0.273,0.137,0.124,0.075,0.391,0.459,0.568,0.409,0.35,0.333,0.317,0.511,0.9,0.068,8,0.254,0.563,0,0
443,Wayne Selden\seldewa01,SG,24,CHI,43,984,0.407,14.2,0.655,0.202,0.205,0.146,0.102,0.345,0.455,0.538,0.364,0.426,0.515,0.315,0.479,0.857,0.028,9,0.234,0.308,0,0
444,Collin Sexton\sextoco01,PG,20,CLE,82,2605,0.43,13.5,0.755,0.266,0.136,0.143,0.209,0.245,0.44,0.57,0.311,0.405,0.381,0.402,0.318,0.639,0.007,7,0.115,0.324,1,0
445,Landry Shamet\shamela01,SG,21,TOT,79,1802,0.431,20.6,0.289,0.133,0.041,0.048,0.066,0.711,0.453,0.554,0.435,0.37,0.324,0.422,0.74,0.946,0.014,6,0.199,0.456,0,0
445,Landry Shamet\shamela01,SG,21,PHI,54,1108,0.441,20.5,0.294,0.135,0.046,0.04,0.072,0.706,0.529,0.66,0.438,0.429,0.4,0.404,0.722,0.949,0.02,5,0.184,0.489,0,0
445,Landry Shamet\shamela01,SG,21,LAC,25,694,0.414,20.6,0.281,0.129,0.033,0.062,0.057,0.719,0.322,0.37,0.429,0.308,0.167,0.45,0.789,0.941,0.005,1,0.225,0.412,0,0
446,Iman Shumpert\shumpim01,SG,28,TOT,62,1481,0.374,19.9,0.388,0.117,0.031,0.065,0.175,0.612,0.416,0.654,0.214,0.241,0.359,0.348,0.542,0.895,0.002,1,0.304,0.373,1,0
446,Iman Shumpert\shumpim01,SG,28,SAC,42,1099,0.382,19.6,0.42,0.121,0.034,0.072,0.193,0.58,0.404,0.667,0.167,0.28,0.328,0.366,0.542,0.878,0.003,1,0.287,0.379,1,0
446,Iman Shumpert\shumpim01,SG,28,HOU,20,382,0.347,21.2,0.276,0.102,0.02,0.041,0.112,0.724,0.481,0.6,0.5,0,0.545,0.296,0.538,0.952,0,0,0.352,0.36,0,0
447,Pascal Siakam\siakapa01,PF,24,TOR,80,2548,0.549,8.7,0.774,0.403,0.302,0.05,0.019,0.226,0.602,0.722,0.474,0.468,0.444,0.369,0.493,0.975,0.063,58,0.682,0.411,2,0
448,Jordan Sibert\siberjo01,SG,26,ATL,1,4,1,25,0,0,0,0,0,1,,,,,,1,,1,0,0,0,,0,0
449,Ben Simmons\simmobe01,PG,22,PHI,79,2700,0.563,4.1,0.994,0.571,0.326,0.077,0.02,0.006,0.566,0.706,0.422,0.257,0.105,0,0.435,,0.155,133,0,,0,0
450,Jonathon Simmons\simmojo02,SG-SF,29,TOT,56,1064,0.38,13.1,0.703,0.24,0.257,0.094,0.111,0.297,0.427,0.595,0.367,0.364,0.256,0.269,0.4,0.714,0.043,13,0.231,0.333,3,0
450,Jonathon Simmons\simmojo02,SG,29,ORL,41,845,0.364,13,0.71,0.234,0.262,0.091,0.122,0.29,0.419,0.627,0.347,0.346,0.229,0.229,0.365,0.737,0.045,12,0.229,0.263,2,0
450,Jonathon Simmons\simmojo02,SF,29,PHI,15,219,0.453,13.5,0.672,0.266,0.234,0.109,0.063,0.328,0.465,0.471,0.467,0.429,0.5,0.429,0.55,0.667,0.031,1,0.238,0.6,1,0
451,Kobi Simmons\simmoko01,PG,21,CLE,1,2,,,,,,,,,,,,,,,,,,0,,,0,0
452,Anfernee Simons\simonan01,SG,19,POR,20,141,0.444,16.2,0.54,0.111,0.222,0.095,0.111,0.46,0.529,1,0.357,0.333,0.571,0.345,0.222,0.6,0,0,0.172,0.4,0,0
453,Marcus Smart\smartma01,SG,24,BOS,80,2200,0.422,18.1,0.39,0.173,0.115,0.053,0.049,0.61,0.511,0.694,0.354,0.4,0.357,0.364,0.434,0.921,0.023,12,0.251,0.379,0,0
454,Dennis Smith Jr.\smithde03,PG,21,TOT,53,1508,0.428,12.7,0.68,0.385,0.102,0.068,0.126,0.32,0.477,0.584,0.303,0.364,0.354,0.322,0.251,0.642,0.051,31,0.087,0.333,1,0
454,Dennis Smith Jr.\smithde03,PG,21,DAL,32,908,0.44,13,0.65,0.375,0.101,0.067,0.106,0.35,0.491,0.59,0.333,0.333,0.395,0.344,0.281,0.721,0.062,21,0.096,0.5,0,0
454,Dennis Smith Jr.\smithde03,PG,21,NYK,21,600,0.413,12.3,0.717,0.396,0.102,0.068,0.15,0.283,0.462,0.578,0.267,0.4,0.318,0.289,0.216,0.5,0.038,10,0.072,0,1,0
455,Ish Smith\smithis01,PG,30,DET,56,1251,0.419,13.7,0.724,0.194,0.241,0.127,0.162,0.276,0.455,0.611,0.407,0.371,0.405,0.326,0.106,0.705,0,0,0.2,0.444,4,0
456,J.R. Smith\smithjr01,SG,33,CLE,11,222,0.342,20.4,0.506,0.038,0.063,0.127,0.278,0.494,0.375,0.333,0.6,0.3,0.364,0.308,0.467,0.917,0,0,0.103,0.75,0,0
457,Jason Smith\smithja02,C-PF,32,TOT,20,190,0.356,15.1,0.559,0.322,0.034,0.085,0.119,0.441,0.364,0.474,0,0.2,0.286,0.346,0.917,1,0.051,3,0.192,0.4,0,0
457,Jason Smith\smithja02,C,32,WAS,12,130,0.405,12.6,0.73,0.378,0.054,0.108,0.189,0.27,0.407,0.571,0,0.25,0.286,0.4,0.909,1,0.081,3,0.3,0,0,0
457,Jason Smith\smithja02,PF,32,MIL,6,40,0.308,18.7,0.308,0.231,0,0.077,0,0.692,0.25,0.333,,0,,0.333,1,1,0,0,0.111,1,0,0
457,Jason Smith\smithja02,C,32,NOP,2,20,0.222,19.9,0.222,0.222,0,0,0,0.778,0,0,,,,0.286,,1,0,0,0.143,1,0,0
458,Zhaire Smith\smithzh01,SG,19,PHI,6,111,0.412,14.8,0.529,0.324,0.059,0.059,0.088,0.471,0.444,0.545,0.5,0,0.333,0.375,0.5,0.667,0.118,3,0.25,0,0,0
459,Tony Snell\snellto01,SF,27,MIL,74,1304,0.452,16.8,0.435,0.241,0.1,0.047,0.047,0.565,0.522,0.701,0.333,0.294,0.235,0.397,0.732,0.938,0.044,15,0.304,0.435,1,0
460,Ray Spalding\spaldra01,PF,21,TOT,14,148,0.532,4.7,0.936,0.617,0.255,0.064,0,0.064,0.568,0.621,0.417,0.667,,0,0.64,,0.213,7,0.333,0,0,0
460,Ray Spalding\spaldra01,PF,21,DAL,1,1,,,,,,,,,,,,,,,,,,0,,,0,0
460,Ray Spalding\spaldra01,PF,21,PHO,13,147,0.532,4.7,0.936,0.617,0.255,0.064,0,0.064,0.568,0.621,0.417,0.667,,0,0.64,,0.213,7,0.333,0,0,0
461,Omari Spellman\spellom01,PF,21,ATL,46,805,0.402,14.6,0.475,0.336,0.086,0.033,0.02,0.525,0.466,0.561,0.143,0.125,0.8,0.344,0.685,1,0.131,25,0.344,0.432,0,0
462,Nik Stauskas\stausni01,SG,25,TOT,68,1015,0.402,17.7,0.444,0.213,0.05,0.095,0.086,0.556,0.44,0.472,0.294,0.438,0.448,0.372,0.5,0.857,0.03,7,0.218,0.366,1,0
462,Nik Stauskas\stausni01,SG,25,POR,44,673,0.419,17.7,0.454,0.223,0.039,0.096,0.096,0.546,0.51,0.549,0.333,0.545,0.455,0.344,0.472,0.86,0.035,5,0.176,0.318,1,0
462,Nik Stauskas\stausni01,SG,25,CLE,24,342,0.367,17.8,0.422,0.193,0.073,0.092,0.064,0.578,0.283,0.286,0.25,0.2,0.429,0.429,0.615,0.852,0.018,2,0.302,0.421,0,0
463,D.J. Stephens\stephdj01,SG,28,MEM,1,7,0.5,0.5,1,1,0,0,0,0,0.5,0.5,,,,,1,,1,1,,,0,0
464,Lance Stephenson\stephla01,SG,28,LAL,68,1123,0.426,16.6,0.544,0.243,0.083,0.044,0.174,0.456,0.472,0.6,0.278,0.474,0.387,0.371,0.324,0.781,0.014,5,0.269,0.472,4,0
465,Edmond Sumner\sumneed01,PG,23,IND,23,210,0.344,13.5,0.578,0.375,0.094,0.031,0.078,0.422,0.405,0.375,0.5,0.5,0.4,0.259,0.6,0.857,0,0,0.296,0.375,0,0
466,Caleb Swanigan\swanica01,PF,21,TOT,21,178,0.34,9,0.868,0.358,0.302,0.113,0.094,0.132,0.37,0.579,0.313,0.167,0,0.143,0.471,1,0.057,3,0.571,0.25,0,0
466,Caleb Swanigan\swanica01,PF,21,POR,18,145,0.318,8.1,0.886,0.409,0.295,0.091,0.091,0.114,0.333,0.556,0.154,0.25,0,0.2,0.462,1,0.068,3,0.6,0.333,0,0
466,Caleb Swanigan\swanica01,PF,21,SAC,3,33,0.444,13.3,0.778,0.111,0.333,0.222,0.111,0.222,0.571,1,1,0,0,0,0.5,,0,0,0.5,0,0,0
467,Jayson Tatum\tatumja01,SF,20,BOS,79,2455,0.45,13.6,0.7,0.261,0.133,0.137,0.169,0.3,0.483,0.678,0.326,0.43,0.349,0.373,0.497,0.853,0.07,68,0.273,0.341,0,0
468,Jeff Teague\teaguje01,PG,30,MIN,42,1264,0.423,11.7,0.748,0.26,0.276,0.139,0.072,0.252,0.453,0.583,0.357,0.483,0.3,0.333,0.106,0.629,0.022,8,0.038,0.25,0,0
469,Garrett Temple\templga01,SG,32,TOT,75,2040,0.422,16.7,0.465,0.221,0.083,0.079,0.081,0.535,0.515,0.688,0.341,0.487,0.25,0.341,0.636,0.933,0.026,12,0.386,0.382,0,0
469,Garrett Temple\templga01,SG,32,MEM,49,1530,0.429,16.8,0.457,0.222,0.08,0.075,0.08,0.543,0.52,0.698,0.355,0.483,0.226,0.352,0.63,0.919,0.028,10,0.386,0.395,0,0
469,Garrett Temple\templga01,SG,32,LAC,26,510,0.396,16.4,0.491,0.217,0.094,0.094,0.085,0.509,0.5,0.652,0.3,0.5,0.333,0.296,0.654,1,0.019,2,0.389,0.333,0,0
470,Miloš Teodosić\teodomi01,PG,31,LAC,15,150,0.425,21.2,0.325,0.1,0.075,0.025,0.125,0.675,0.538,0.75,0,1,0.6,0.37,0.571,1,0,0,0.148,0.5,1,0
471,Jared Terrell\terreja01,SG,23,MIN,14,111,0.308,17.1,0.564,0.179,0.103,0.051,0.231,0.436,0.364,0.286,0,0.5,0.556,0.235,0.25,0.5,0.026,1,0.118,0.5,0,0
472,Emanuel Terry\terryem01,PF,22,TOT,3,23,0.571,1.6,1,1,0,0,0,0,0.571,0.571,,,,,0.75,,0.143,1,,,0,0
472,Emanuel Terry\terryem01,PF,22,PHO,2,20,0.667,1.5,1,1,0,0,0,0,0.667,0.667,,,,,0.75,,0.167,1,,,0,0
472,Emanuel Terry\terryem01,PF,22,MIA,1,3,0,2,1,1,0,0,0,0,0,0,,,,,,,0,0,,,0,0
473,Daniel Theis\theisda01,C,26,BOS,66,908,0.549,10.1,0.748,0.47,0.128,0.071,0.079,0.252,0.603,0.76,0.353,0.316,0.333,0.388,0.792,0.962,0.214,52,0.06,0,0,0
474,Isaiah Thomas\thomais02,SG,29,DEN,12,181,0.343,14.8,0.566,0.141,0.273,0.131,0.02,0.434,0.393,0.571,0.333,0.231,1,0.279,0.545,0.667,0,0,0.14,0.167,0,0
475,Khyri Thomas\thomakh01,SG,22,DET,26,195,0.319,16.8,0.493,0.159,0.116,0.13,0.087,0.507,0.353,0.545,0.25,0.222,0.333,0.286,0.667,1,0.014,1,0.486,0.353,0,0
476,Lance Thomas\thomala01,PF,30,NYK,46,783,0.396,15.1,0.599,0.218,0.137,0.076,0.168,0.401,0.475,0.651,0.333,0.333,0.424,0.278,0.732,1,0.056,8,0.544,0.302,0,0
477,Klay Thompson\thompkl01,SG,28,GSW,78,2652,0.467,17.7,0.573,0.138,0.073,0.148,0.215,0.427,0.516,0.715,0.422,0.478,0.445,0.402,0.746,0.917,0.019,24,0.21,0.46,0,0
478,Tristan Thompson\thomptr01,C,27,CLE,43,1198,0.529,4.8,1,0.461,0.411,0.108,0.021,0,0.529,0.594,0.506,0.39,0.25,,0.502,,0.1,30,,,0,0
479,Sindarius Thornwell\thornsi01,SG,24,LAC,64,313,0.347,10.2,0.694,0.327,0.347,0.02,0,0.306,0.412,0.563,0.294,0,,0.2,0.786,1,0,0,0.467,0.143,0,0
480,Anthony Tolliver\tollian01,PF,33,MIN,65,1079,0.382,22.1,0.17,0.093,0.039,0.012,0.027,0.83,0.409,0.5,0.2,0,0.571,0.377,0.611,1,0.019,4,0.265,0.351,0,0
481,Karl-Anthony Towns\townska01,C,23,MIN,77,2545,0.518,11.4,0.73,0.297,0.289,0.068,0.076,0.27,0.562,0.738,0.471,0.36,0.4,0.4,0.584,0.93,0.086,105,0.115,0.415,1,0
482,Gary Trent Jr.\trentga02,SG,20,POR,15,111,0.32,17.7,0.58,0.12,0.1,0.12,0.24,0.42,0.379,0.5,0,0.333,0.5,0.238,0.364,0.8,0,0,0.19,0.5,0,0
483,Allonzo Trier\trieral01,SG,23,NYK,64,1459,0.448,12.2,0.745,0.382,0.069,0.118,0.176,0.255,0.466,0.586,0.222,0.361,0.374,0.394,0.267,0.635,0.017,8,0.159,0.333,0,0
484,P.J. Tucker\tuckepj01,PF,33,HOU,82,2802,0.396,18.9,0.26,0.141,0.096,0.015,0.008,0.74,0.449,0.527,0.34,0.5,0.25,0.377,0.705,1,0.006,3,0.703,0.393,1,0
485,Evan Turner\turneev01,PG,30,POR,73,1605,0.46,10.2,0.883,0.305,0.205,0.228,0.144,0.117,0.494,0.659,0.33,0.465,0.422,0.212,0.306,1,0.02,9,0.346,0.222,0,0
486,Myles Turner\turnemy01,C,22,IND,74,2119,0.487,13.9,0.749,0.256,0.141,0.108,0.244,0.251,0.521,0.685,0.445,0.476,0.411,0.388,0.78,0.974,0.081,54,0.077,0.6,0,0
487,Ekpe Udoh\udohek01,C,31,UTA,51,320,0.694,3.8,1,0.597,0.319,0.069,0.014,0,0.694,0.767,0.652,0.4,0,,0.72,,0.222,15,,,0,0
488,Tyler Ulis\ulisty01,PG,23,CHI,1,1,,,,,,,,,,,,,,,,,,0,,,0,0
489,Jonas Valančiūnas\valanjo01,C,26,TOT,49,1091,0.559,7,0.911,0.39,0.375,0.115,0.03,0.089,0.586,0.681,0.545,0.435,0.438,0.292,0.578,1,0.076,39,0.063,0.667,0,0
489,Jonas Valančiūnas\valanjo01,C,26,TOR,30,564,0.575,7.4,0.884,0.367,0.386,0.112,0.019,0.116,0.611,0.684,0.6,0.448,0.4,0.3,0.629,1,0.073,18,0.033,1,0,0
489,Jonas Valančiūnas\valanjo01,C,26,MEM,19,527,0.545,6.6,0.935,0.412,0.366,0.118,0.039,0.065,0.563,0.678,0.49,0.424,0.455,0.278,0.531,1,0.079,21,0.111,0.5,0,0
490,Jarred Vanderbilt\vandeja01,PF,19,DEN,17,69,0.474,4.4,0.947,0.684,0.211,0,0.053,0.053,0.5,0.615,0.25,,0,0,0.778,,0.158,3,1,0,0,0
491,Fred VanVleet\vanvlfr01,PG,24,TOR,64,1760,0.41,16.6,0.507,0.255,0.08,0.05,0.122,0.493,0.441,0.516,0.333,0.3,0.411,0.378,0.284,0.759,0,0,0.189,0.482,1,0
492,Noah Vonleh\vonleno01,PF,23,NYK,68,1722,0.47,11,0.689,0.373,0.255,0.023,0.039,0.311,0.531,0.598,0.473,0.3,0.412,0.336,0.354,0.978,0.111,39,0.124,0.353,0,0
493,Nikola Vučević\vucevni01,C,28,ORL,80,2510,0.518,10.9,0.829,0.261,0.299,0.143,0.126,0.171,0.549,0.706,0.533,0.404,0.427,0.364,0.669,1,0.042,51,0.013,0.333,1,0
494,Dwyane Wade\wadedw01,SG,37,MIA,72,1885,0.433,13,0.728,0.246,0.168,0.203,0.111,0.272,0.472,0.619,0.46,0.379,0.336,0.33,0.333,0.547,0.019,18,0.268,0.429,3,1
495,Moritz Wagner\wagnemo01,C,21,LAL,43,446,0.415,13.7,0.55,0.374,0.135,0.023,0.018,0.45,0.521,0.531,0.565,0,0.667,0.286,0.694,1,0.029,4,0.052,0,0,0
496,Dion Waiters\waitedi01,SG,27,MIA,44,1138,0.414,17.8,0.395,0.226,0.056,0.036,0.077,0.605,0.471,0.546,0.407,0.118,0.459,0.377,0.281,0.826,0,0,0.287,0.434,1,0
497,Kemba Walker\walkeke02,PG,28,CHO,82,2863,0.434,15.8,0.566,0.252,0.107,0.1,0.106,0.434,0.494,0.576,0.343,0.479,0.466,0.356,0.2,0.438,0,0,0.052,0.395,10,1
498,Lonnie Walker\walkelo01,SG,20,SAS,17,118,0.348,14.4,0.717,0.217,0.174,0.109,0.217,0.283,0.333,0.7,0,0.4,0.2,0.385,0.273,0.8,0,0,0.077,1,0,0
499,John Wall\walljo01,PG,28,WAS,32,1104,0.444,12.9,0.694,0.377,0.074,0.116,0.127,0.306,0.507,0.62,0.293,0.406,0.386,0.302,0.113,0.784,0.029,14,0.107,0.389,0,0
500,Tyrone Wallace\wallaty01,PG,24,LAC,62,628,0.424,7.4,0.912,0.313,0.433,0.134,0.032,0.088,0.444,0.544,0.362,0.483,0.429,0.211,0.545,1,0.023,5,0.421,0.375,0,0
501,Brad Wanamaker\wanambr01,PG,29,BOS,36,343,0.476,15.2,0.629,0.19,0.19,0.076,0.171,0.371,0.515,0.8,0.4,0.375,0.389,0.41,0.412,0.75,0,0,0.026,0,0,0
502,T.J. Warren\warretj01,SF,25,PHO,43,1360,0.486,12.1,0.705,0.3,0.203,0.146,0.057,0.295,0.51,0.672,0.395,0.438,0.257,0.428,0.55,0.896,0.033,19,0.3,0.481,0,0
503,Julian Washburn\washbju01,SF,27,MEM,18,254,0.333,18.6,0.5,0.104,0.083,0.125,0.188,0.5,0.458,0.8,0.25,0.5,0.333,0.208,0.545,1,0.021,1,0.458,0.273,1,0
